,dataset,train_time,test_time,train_hr,test_hr,train_sum,test_sum,total_hr,total_sum
55,ProximalPhalanxOutlineAgeGroup,30.390565501090908,0.6727084970909091,0.008441823750303029,0.00018686347141414142,0.07859849064019782,0.012025369854158247,0.008628687221717172,0.09062386049435606
15,DistalPhalanxOutlineAgeGroup,31.161335777909088,0.48287101827272727,0.008655926604974747,0.0001341308384090909,0.08725441724517256,0.012159500692567337,0.008790057443383837,0.09941391793773989
57,ProximalPhalanxTW,31.465018043,0.987770523818182,0.008740282789722222,0.0002743807010606061,0.09599470003489478,0.012433881393627944,0.009014663490782828,0.10842858142852271
46,MiddlePhalanxTW,32.276586632,0.6278824215454545,0.008965718508888889,0.00017441178376262625,0.10496041854378367,0.01260829317739057,0.009140130292651516,0.11756871172117422
40,Lightning7,30.598997094727277,3.8306062855454543,0.008499721415202022,0.001064057301540404,0.1134601399589857,0.013672350478930975,0.009563778716742426,0.12713249043791666
34,Herring,45.196956746454546,1.0295305564545458,0.012554710207348486,0.0002859807101262627,0.12601485016633418,0.013958331189057238,0.012840690917474747,0.1399731813553914
6,Car,45.150385162818175,1.2790023678181817,0.012541773656338382,0.0003552784355050505,0.13855662382267256,0.014313609624562289,0.012897052091843431,0.15287023344723485
43,MedicalImages,45.40423862590909,8.814661033545454,0.01261228850719697,0.002448516953762626,0.15116891232986954,0.016762126578324914,0.015060805460959595,0.16793103890819444
45,MiddlePhalanxOutlineCorrect,64.16136980381818,0.5826583942727273,0.017822602723282826,0.00016184955396464647,0.16899151505315235,0.01692397613228956,0.017984452277247473,0.18591549118544193
16,DistalPhalanxOutlineCorrect,68.07805603154544,0.6852822227272728,0.018910571119873733,0.000190356172979798,0.1879020861730261,0.017114332305269358,0.01910092729285353,0.20501641847829546
56,ProximalPhalanxOutlineCorrect,70.14693409827272,0.6506182365454545,0.019485259471742424,0.00018072728792929292,0.20738734564476852,0.01729505959319865,0.019665986759671718,0.22468240523796718
31,Ham,70.13133223345454,1.6409557340909091,0.01948092562040404,0.00045582103724747477,0.22686827126517256,0.017750880630446126,0.019936746657651515,0.2446191518956187
39,Lightning2,71.82826906381818,2.868068943181818,0.01995229696217172,0.000796685817550505,0.24682056822734427,0.01854756644799663,0.020748982779722223,0.2653681346753409
25,FacesUCR,39.44665280454546,52.069369696181816,0.010957403556818183,0.01446371380449495,0.25777797178416245,0.03301128025249158,0.025421117361313132,0.29078925203665407
67,SwedishLeaf,90.07757209163637,14.238638520454545,0.025021547803232326,0.003955177366792929,0.2827995195873948,0.03696645761928451,0.028976725170025253,0.3197659772066793
19,ECG5000,72.83028384336363,43.007299978545454,0.020230634400934342,0.011946472216262626,0.30303015398832917,0.04891292983554713,0.032177106617196964,0.3519430838238763
27,Fish,124.29179873090908,3.771325881,0.03452549964747474,0.0010475905225,0.3375556536358039,0.049960520358047135,0.035573090169974744,0.387516173993851
79,Wafer,121.59463819463635,14.347184271818183,0.03377628838739898,0.0039853289643939395,0.3713319420232029,0.05394584932244108,0.037761617351792925,0.4252777913456439
50,OSULeaf,151.52616171509092,3.3436603783636363,0.04209060047641414,0.0009287945495454545,0.4134225424996171,0.05487464387198653,0.0430193950259596,0.4682971863716035
74,TwoPatterns,121.44484046518183,42.50202682963636,0.03373467790699495,0.011806118563787877,0.44715722040661204,0.06668076243577441,0.04554079647078283,0.5138379828423864
0,Adiac,164.58779123745455,3.5029673126363634,0.045718830899292934,0.0009730464757323232,0.49287605130590495,0.06765380891150673,0.046691877375025254,0.5605298602174116
23,FaceAll,126.77667898345454,42.777861826,0.035215744162070704,0.01188273939611111,0.5280917954679757,0.07953654830761783,0.04709848355818182,0.6076283437755934
36,InsectWingbeatSound,91.69087272854546,92.44578090045455,0.025469686869040404,0.025679383583459597,0.5535614823370161,0.10521593189107743,0.05114907045250001,0.6587774142280934
66,Strawberry,196.05968178845455,2.304823876090909,0.05446102271901515,0.000640228854469697,0.6080225050560313,0.10585616074554713,0.055101251573484854,0.7138786658015783
7,ChlorineConcentration,205.19864334536365,18.590196183545455,0.0569996231514899,0.005163943384318182,0.6650221282075212,0.11102010412986531,0.06216356653580809,0.7760422323373865
81,WordSynonyms,185.18470890745456,68.54915533327272,0.05144019691873738,0.0190414320370202,0.7164623251262585,0.1300615361668855,0.07048162895575757,0.846523861293144
84,Yoga,241.6832095499091,47.95724769209091,0.06713422487497475,0.013321457692247475,0.7835965500012333,0.14338299385913297,0.08045568256722223,0.9269795438603663
52,PhalangesOutlinesCorrect,329.9005674831818,3.7113830263636367,0.09163904652310606,0.0010309397295454547,0.8752355965243394,0.14441393358867843,0.09266998625265152,1.0196495301130177
12,CricketY,310.53883820190913,34.03997941554545,0.0862607883894192,0.009455549837651515,0.9614963849137586,0.15386948342632994,0.09571633822707072,1.1153658683400884
11,CricketX,305.69509879509087,43.01218576681818,0.08491530522085858,0.011947829379671716,1.0464116901346172,0.16581731280600165,0.09686313460053028,1.2122290029406186
13,CricketZ,310.44128166936366,43.22905940863636,0.08623368935260102,0.012008072057954544,1.1326453794872182,0.1778253848639562,0.09824176141055556,1.3104707643511742
10,Computers,450.7731277723637,10.256565065181817,0.12521475771454546,0.0028490458514393935,1.2578601372017637,0.18067443071539557,0.12806380356598487,1.438534567917159
21,Earthquakes,552.5054218746363,7.420220651727273,0.15347372829851008,0.0020611724032575758,1.4113338655002738,0.18273560311865314,0.15553490070176768,1.5940694686189267
82,Worms,580.778945134091,15.024751532636362,0.16132748475946973,0.004173542092398989,1.5726613502597435,0.18690914521105212,0.16550102685186874,1.7595704954707956
83,WormsTwoClass,596.159813629,5.497785867818182,0.1655999482302778,0.0015271627410606062,1.7382612984900212,0.18843630795211272,0.1671271109713384,1.926697606442134
26,FiftyWords,520.9514423932727,93.09188468118182,0.1447087339981313,0.02585885685588384,1.8829700324881524,0.21429516480799657,0.17056759085401516,2.097265197296149
62,SmallKitchenAppliances,589.5078086319089,26.151671600909086,0.16375216906441914,0.007264353222474746,2.0467222015525715,0.2215595180304713,0.1710165222868939,2.268281719583043
38,LargeKitchenAppliances,654.6565159868182,27.745287617,0.18184903221856064,0.007707024338055556,2.228571233771132,0.22926654236852687,0.1895560565566162,2.4578377761396593
33,Haptics,624.5143988348183,63.74880144509091,0.17347622189856063,0.017708000401414143,2.4020474556696927,0.24697454276994102,0.19118422229997475,2.649021998439634
8,CinCECGtorso,225.60624236536364,472.8255898384545,0.06266840065704546,0.13134044162179292,2.464715856326738,0.37831498439173394,0.19400884227883838,2.8430308407184723
78,UWaveGestureLibraryZ,524.4518406144546,180.28890561854544,0.1456810668373485,0.05008025156070707,2.6103969231640862,0.428395235952441,0.19576131839805555,3.038792159116528
76,UWaveGestureLibraryX,522.8323105482727,199.34120306154543,0.1452311973745202,0.05537255640598484,2.7556281205386064,0.4837677923584258,0.20060375378050505,3.239395912897033
